movie_name,review,sentiment_label,sentiment_score,sentiment
Inception,Mind-bending and visually stunning.,positive,0.5,0.3818
Inception,DiCaprio is fantastic in the lead role.,positive,0.4,0.5574
Inception,"Nolan's direction is masterful, creating a complex and engaging plot.",positive,0.3666666666666667,0.5574
Inception,The score by Hans Zimmer is iconic.,positive,0.5,0.0
Inception,A modern sci-fi classic that requires multiple viewings.,positive,0.1222222222222222,0.0
The Dark Knight,A superhero masterpiece with a stellar performance by Heath Ledger.,positive,0.25,0.6249
The Dark Knight,Bale delivers a compelling Batman.,positive,0.3,0.2263
The Dark Knight,"Nolan's direction is dark and gritty, perfectly capturing the tone of Gotham.",positive,0.2833333333333333,0.6369
The Dark Knight,The action sequences are breathtaking.,positive,0.55,0.4588
The Dark Knight,Considered by many to be the greatest superhero film ever made.,positive,0.75,0.6369
Interstellar,A visually stunning and emotionally resonant space epic.,positive,0.1999999999999999,0.3818
Interstellar,McConaughey gives a powerful performance.,positive,0.3,0.4215
Interstellar,Nolan tackles complex scientific concepts with grace and clarity.,negative,-0.3,0.6705
Interstellar,"The film explores themes of love, loss, and the human spirit.",positive,0.25,0.5574
Interstellar,A breathtaking cinematic experience that will leave you in awe.,positive,0.5,0.4215
The Social Network,A brilliant and captivating film about the founding of Facebook.,positive,0.7,0.5859
The Social Network,Eisenberg delivers a phenomenal performance as Zuckerberg.,positive,0.5,0.0
The Social Network,"Fincher's direction is top-notch, creating a tense and engaging narrative.",positive,0.3555555555555556,0.296
The Social Network,"The script is sharp and witty, exploring complex themes of ambition and betrayal.",positive,0.025,-0.5859
The Social Network,A modern classic that accurately portrays the digital age.,positive,0.1916666666666667,0.0
Parasite,A masterpiece of social satire and suspense.,positive,0.0333333333333333,0.6249
Parasite,Bong Joon-ho's direction is masterful.,positive,1.0,0.0
Parasite,The film is both hilarious and deeply disturbing.,neutral,0.0,-0.2247
Parasite,A must-watch that will stay with you long after the credits roll.,negative,-0.05,0.3612
Parasite,Parasite is a truly original and unforgettable cinematic experience.,positive,0.3916666666666666,0.6369
The Social Network,A brilliant and captivating film about the founding of Facebook.,positive,0.7,0.5859
The Social Network,Eisenberg delivers a phenomenal performance as Zuckerberg.,positive,0.5,0.0
The Social Network,"Fincher's direction is top-notch, creating a tense and engaging narrative.",positive,0.3555555555555556,0.296
The Social Network,"The script is sharp and witty, exploring complex themes of ambition and betrayal.",positive,0.025,-0.5859
The Social Network,A modern classic that accurately portrays the digital age.,positive,0.1916666666666667,0.0
Parasite,A masterpiece of social satire and suspense.,positive,0.0333333333333333,0.6249
Parasite,Bong Joon-ho's direction is masterful.,positive,1.0,0.0
Parasite,The film is both hilarious and deeply disturbing.,neutral,0.0,-0.2247
Parasite,A must-watch that will stay with you long after the credits roll.,negative,-0.05,0.3612
Parasite,Parasite is a truly original and unforgettable cinematic experience.,positive,0.3916666666666666,0.6369
Avengers: Endgame,A satisfying and epic conclusion to the Avengers saga.,positive,0.3,0.4588
Avengers: Endgame,"Full of action, emotion, and fan-service moments.",positive,0.2249999999999999,0.0
Avengers: Endgame,"The performances are top-notch, especially Downey Jr.'s.",positive,0.5,0.0
Avengers: Endgame,A must-see for any Marvel fan.,neutral,0.0,0.6249
Avengers: Endgame,Endgame is a cinematic triumph that delivers on all fronts.,neutral,0.0,0.4767
Interstellar,A visually stunning and intellectually stimulating sci-fi masterpiece.,positive,0.4,0.9001
Interstellar,Nolan's direction is ambitious and thought-provoking.,positive,0.325,0.4767
Interstellar,McConaughey delivers a powerful and emotional performance.,positive,0.15,0.5267
Interstellar,"The film explores complex themes of time, space, and human connection.",negative,-0.15,0.0
Interstellar,Interstellar is a cinematic journey that will leave you in awe.,neutral,0.0,-0.0516
The Silence of the Lambs,A chilling and suspenseful thriller that redefined the genre.,negative,-0.25,0.0772
