data,success
"{'movie_name': 'Inception', 'review': 'Mind-bending and visually stunning.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'DiCaprio is fantastic in the lead role.', 'sentiment_label': 'positive', 'sentiment_score': 0.4}",True
"{'movie_name': 'Inception', 'review': ""Nolan's direction is masterful, creating a complex and engaging plot."", 'sentiment_label': 'positive', 'sentiment_score': 0.3666666666666667}",True
"{'movie_name': 'Inception', 'review': 'The score by Hans Zimmer is iconic.', 'sentiment_label': 'positive', 'sentiment_score': 0.5}",True
"{'movie_name': 'Inception', 'review': 'A modern sci-fi classic that requires multiple viewings.', 'sentiment_label': 'positive', 'sentiment_score': 0.12222222222222223}",True
"{'movie_name': 'The Dark Knight', 'review': 'A superhero masterpiece with a stellar performance by Heath Ledger.', 'sentiment_label': 'positive', 'sentiment_score': 0.25}",True
"{'movie_name': 'The Dark Knight', 'review': 'Bale delivers a compelling Batman.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': 'The Dark Knight', 'review': ""Nolan's direction is dark and gritty, perfectly capturing the tone of Gotham."", 'sentiment_label': 'positive', 'sentiment_score': 0.2833333333333333}",True
"{'movie_name': 'The Dark Knight', 'review': 'The action sequences are breathtaking.', 'sentiment_label': 'positive', 'sentiment_score': 0.55}",True
"{'movie_name': 'The Dark Knight', 'review': 'Considered by many to be the greatest superhero film ever made.', 'sentiment_label': 'positive', 'sentiment_score': 0.75}",True
"{'movie_name': 'Interstellar', 'review': 'A visually stunning and emotionally resonant space epic.', 'sentiment_label': 'positive', 'sentiment_score': 0.19999999999999998}",True
"{'movie_name': 'Interstellar', 'review': 'McConaughey gives a powerful performance.', 'sentiment_label': 'positive', 'sentiment_score': 0.3}",True
"{'movie_name': 'Interstellar', 'review': 'Nolan tackles complex scientific concepts with grace and clarity.', 'sentiment_label': 'negative', 'sentiment_score': -0.3}",True
"{'movie_name': 'Interstellar', 'review': 'The film explores themes of love, loss, and the human spirit.', 'sentiment_label': 'positive', 'sentiment_score': 0.25}",True
